quest_id,file,source_node,npc_id,action_id,action_name,response,page_id,page_name,start_eligible,evidence_source
1351,src/main/resources/aion/data/static_data/quest_definition/quests/1351.xml,started,203983,1008,FINISH_DIALOG,CLOSE_DIALOG,0,NULL,False,QUEST_Q1351.html#select6: 结束对话。
1482,src/main/resources/aion/data/static_data/quest_definition/quests/1482.xml,started1,203337,1008,FINISH_DIALOG,CLOSE_DIALOG,0,NULL,False,QUEST_Q1482.html#check_user_item_fail: 结束对话。
2333,src/main/resources/aion/data/static_data/quest_definition/quests/2333.xml,started,701147,1008,FINISH_DIALOG,CLOSE_DIALOG,0,NULL,False,QUEST_Q2333.html#check_user_item_fail: 结束对话。
2367,src/main/resources/aion/data/static_data/quest_definition/quests/2367.xml,started,798079,1012,SELECT1_1,SHOW_QUEST_PAGE,1012,SELECT1_1,False,QUEST_Q2367.html#quest_accept_1: 说会交给莎拉琳琳。
2367,src/main/resources/aion/data/static_data/quest_definition/quests/2367.xml,started,798079,1097,SELECT1_2,SHOW_QUEST_PAGE,1097,SELECT1_2,False,QUEST_Q2367.html#quest_accept_1: 说会交给佩佩龙。
2367,src/main/resources/aion/data/static_data/quest_definition/quests/2367.xml,started,798080,1012,SELECT1_1,SHOW_QUEST_PAGE,1012,SELECT1_1,False,QUEST_Q2367.html#quest_accept_1: 说会交给莎拉琳琳。
2367,src/main/resources/aion/data/static_data/quest_definition/quests/2367.xml,started,798080,1097,SELECT1_2,SHOW_QUEST_PAGE,1097,SELECT1_2,False,QUEST_Q2367.html#quest_accept_1: 说会交给佩佩龙。
2411,src/main/resources/aion/data/static_data/quest_definition/quests/2411.xml,started,204364,1012,SELECT1_1,SHOW_QUEST_PAGE,1012,SELECT1_1,False,QUEST_Q2411.html#quest_accept_1: 我要去捕捉地之精灵。
2411,src/main/resources/aion/data/static_data/quest_definition/quests/2411.xml,started,204364,1097,SELECT1_2,SHOW_QUEST_PAGE,1097,SELECT1_2,False,QUEST_Q2411.html#quest_accept_1: 我要去捕捉水之精灵。
2411,src/main/resources/aion/data/static_data/quest_definition/quests/2411.xml,started,204366,1012,SELECT1_1,SHOW_QUEST_PAGE,1012,SELECT1_1,False,QUEST_Q2411.html#quest_accept_1: 我要去捕捉地之精灵。
2411,src/main/resources/aion/data/static_data/quest_definition/quests/2411.xml,started,204366,1097,SELECT1_2,SHOW_QUEST_PAGE,1097,SELECT1_2,False,QUEST_Q2411.html#quest_accept_1: 我要去捕捉水之精灵。
2423,src/main/resources/aion/data/static_data/quest_definition/quests/2423.xml,started1,204375,1008,FINISH_DIALOG,CLOSE_DIALOG,0,NULL,False,QUEST_Q2423.html#check_user_item_fail: 结束对话。
2423,src/main/resources/aion/data/static_data/quest_definition/quests/2423.xml,started2,204375,1008,FINISH_DIALOG,CLOSE_DIALOG,0,NULL,False,QUEST_Q2423.html#check_user_item_ok: 结束对话。
2448,src/main/resources/aion/data/static_data/quest_definition/quests/2448.xml,started,798079,1012,SELECT1_1,SHOW_QUEST_PAGE,1012,SELECT1_1,False,QUEST_Q2448.html#quest_accept_1: 说会交给莎拉琳琳。
2448,src/main/resources/aion/data/static_data/quest_definition/quests/2448.xml,started,798079,1097,SELECT1_2,SHOW_QUEST_PAGE,1097,SELECT1_2,False,QUEST_Q2448.html#quest_accept_1: 说会交给佩佩龙。
2448,src/main/resources/aion/data/static_data/quest_definition/quests/2448.xml,started,798080,1012,SELECT1_1,SHOW_QUEST_PAGE,1012,SELECT1_1,False,QUEST_Q2448.html#quest_accept_1: 说会交给莎拉琳琳。
2448,src/main/resources/aion/data/static_data/quest_definition/quests/2448.xml,started,798080,1097,SELECT1_2,SHOW_QUEST_PAGE,1097,SELECT1_2,False,QUEST_Q2448.html#quest_accept_1: 说会交给佩佩龙。
2477,src/main/resources/aion/data/static_data/quest_definition/quests/2477.xml,checked,204355,1008,FINISH_DIALOG,CLOSE_DIALOG,0,NULL,False,QUEST_Q2477.html#check_user_item_ok: 结束对话。
2922,src/main/resources/aion/data/static_data/quest_definition/quests/2922.xml,started,204108,1012,SELECT1_1,SHOW_QUEST_PAGE,1012,SELECT1_1,False,QUEST_Q2922.html#quest_accept_1: “送玫瑰图案的箱子比较好。”
2922,src/main/resources/aion/data/static_data/quest_definition/quests/2922.xml,started,204108,1097,SELECT1_2,SHOW_QUEST_PAGE,1097,SELECT1_2,False,QUEST_Q2922.html#quest_accept_1: 送希埃尔的眼泪耳坠比较好。
2922,src/main/resources/aion/data/static_data/quest_definition/quests/2922.xml,started,798058,1012,SELECT1_1,SHOW_QUEST_PAGE,1012,SELECT1_1,False,QUEST_Q2922.html#quest_accept_1: “送玫瑰图案的箱子比较好。”
2922,src/main/resources/aion/data/static_data/quest_definition/quests/2922.xml,started,798058,1097,SELECT1_2,SHOW_QUEST_PAGE,1097,SELECT1_2,False,QUEST_Q2922.html#quest_accept_1: 送希埃尔的眼泪耳坠比较好。
4033,src/main/resources/aion/data/static_data/quest_definition/quests/4033.xml,unaccepted,205155,1012,SELECT1_1,SHOW_QUEST_PAGE,1012,SELECT1_1,False,QUEST_Q4033.html#select1: 继续听。
4038,src/main/resources/aion/data/static_data/quest_definition/quests/4038.xml,started1,730155,1008,FINISH_DIALOG,CLOSE_DIALOG,0,NULL,False,QUEST_Q4038.html#check_user_item_fail: 结束对话。
4038,src/main/resources/aion/data/static_data/quest_definition/quests/4038.xml,started2,730155,1693,SELECT3,SHOW_QUEST_PAGE,1693,SELECT3,False,QUEST_Q4038.html#check_user_item_ok: 帮助他把骨头都拼接到一起。
14052,src/main/resources/aion/data/static_data/quest_definition/quests/14052.xml,s2,204629,1008,FINISH_DIALOG,CLOSE_DIALOG,0,NULL,False,10000_19999/quest_q14052.html#check_user_item_fail: 结束对话
14052,src/main/resources/aion/data/static_data/quest_definition/quests/14052.xml,s3,204629,1008,FINISH_DIALOG,CLOSE_DIALOG,0,NULL,False,10000_19999/quest_q14052.html#check_user_item_ok: 结束对话
15478,src/main/resources/aion/data/static_data/quest_definition/quests/15478.xml,complete,805801,4763,SELECT_NONE_1,SHOW_QUEST_PAGE,4763,SELECT_NONE_1,True,10000_19999/quest_q15478.html#select_none: 继续听。
15478,src/main/resources/aion/data/static_data/quest_definition/quests/15478.xml,complete,805803,4763,SELECT_NONE_1,SHOW_QUEST_PAGE,4763,SELECT_NONE_1,True,10000_19999/quest_q15478.html#select_none: 继续听。
15478,src/main/resources/aion/data/static_data/quest_definition/quests/15478.xml,unaccepted,805801,4763,SELECT_NONE_1,SHOW_QUEST_PAGE,4763,SELECT_NONE_1,False,10000_19999/quest_q15478.html#select_none: 继续听。
15478,src/main/resources/aion/data/static_data/quest_definition/quests/15478.xml,unaccepted,805803,4763,SELECT_NONE_1,SHOW_QUEST_PAGE,4763,SELECT_NONE_1,False,10000_19999/quest_q15478.html#select_none: 继续听。
15479,src/main/resources/aion/data/static_data/quest_definition/quests/15479.xml,complete,805802,4763,SELECT_NONE_1,SHOW_QUEST_PAGE,4763,SELECT_NONE_1,True,10000_19999/quest_q15479.html#select_none: 继续听。
15479,src/main/resources/aion/data/static_data/quest_definition/quests/15479.xml,complete,805804,4763,SELECT_NONE_1,SHOW_QUEST_PAGE,4763,SELECT_NONE_1,True,10000_19999/quest_q15479.html#select_none: 继续听。
15479,src/main/resources/aion/data/static_data/quest_definition/quests/15479.xml,unaccepted,805802,4763,SELECT_NONE_1,SHOW_QUEST_PAGE,4763,SELECT_NONE_1,False,10000_19999/quest_q15479.html#select_none: 继续听。
15479,src/main/resources/aion/data/static_data/quest_definition/quests/15479.xml,unaccepted,805804,4763,SELECT_NONE_1,SHOW_QUEST_PAGE,4763,SELECT_NONE_1,False,10000_19999/quest_q15479.html#select_none: 继续听。
15690,src/main/resources/aion/data/static_data/quest_definition/quests/15690.xml,reward,806696,1008,FINISH_DIALOG,CLOSE_DIALOG,0,NULL,False,10000_19999/quest_q15690.html#check_user_item_ok: 结束对话。
16838,src/main/resources/aion/data/static_data/quest_definition/quests/16838.xml,reward,806566,1008,FINISH_DIALOG,CLOSE_DIALOG,0,NULL,False,10000_19999/quest_q16838.html#check_user_item_ok: 结束对话。
18953,src/main/resources/aion/data/static_data/quest_definition/quests/18953.xml,started,804711,1008,FINISH_DIALOG,CLOSE_DIALOG,0,NULL,False,10000_19999/quest_q18953.html#check_user_item_fail: 结束对话。
21027,src/main/resources/aion/data/static_data/quest_definition/quests/21027.xml,reward,799254,1008,FINISH_DIALOG,CLOSE_DIALOG,0,NULL,False,20000_29999/quest_q21027.html#check_user_item_ok: 结束对话。
24203,src/main/resources/aion/data/static_data/quest_definition/quests/24203.xml,started,205150,2717,SELECT6_1,SHOW_QUEST_PAGE,2717,SELECT6_1,False,20000_29999/quest_q24203.html#select6: 说明城寨的情况。
25304,src/main/resources/aion/data/static_data/quest_definition/quests/25304.xml,started,805340,1008,FINISH_DIALOG,CLOSE_DIALOG,0,NULL,False,20000_29999/quest_q25304.html#check_user_item_fail: 结束对话。
25478,src/main/resources/aion/data/static_data/quest_definition/quests/25478.xml,complete,805818,4763,SELECT_NONE_1,SHOW_QUEST_PAGE,4763,SELECT_NONE_1,True,20000_29999/quest_q25478.html#select_none: 继续听。
25478,src/main/resources/aion/data/static_data/quest_definition/quests/25478.xml,complete,805820,4763,SELECT_NONE_1,SHOW_QUEST_PAGE,4763,SELECT_NONE_1,True,20000_29999/quest_q25478.html#select_none: 继续听。
25478,src/main/resources/aion/data/static_data/quest_definition/quests/25478.xml,unaccepted,805818,4763,SELECT_NONE_1,SHOW_QUEST_PAGE,4763,SELECT_NONE_1,False,20000_29999/quest_q25478.html#select_none: 继续听。
25478,src/main/resources/aion/data/static_data/quest_definition/quests/25478.xml,unaccepted,805820,4763,SELECT_NONE_1,SHOW_QUEST_PAGE,4763,SELECT_NONE_1,False,20000_29999/quest_q25478.html#select_none: 继续听。
25479,src/main/resources/aion/data/static_data/quest_definition/quests/25479.xml,complete,805819,4763,SELECT_NONE_1,SHOW_QUEST_PAGE,4763,SELECT_NONE_1,True,20000_29999/quest_q25479.html#select_none: 继续听。
25479,src/main/resources/aion/data/static_data/quest_definition/quests/25479.xml,complete,805821,4763,SELECT_NONE_1,SHOW_QUEST_PAGE,4763,SELECT_NONE_1,True,20000_29999/quest_q25479.html#select_none: 继续听。
25479,src/main/resources/aion/data/static_data/quest_definition/quests/25479.xml,unaccepted,805819,4763,SELECT_NONE_1,SHOW_QUEST_PAGE,4763,SELECT_NONE_1,False,20000_29999/quest_q25479.html#select_none: 继续听。
25479,src/main/resources/aion/data/static_data/quest_definition/quests/25479.xml,unaccepted,805821,4763,SELECT_NONE_1,SHOW_QUEST_PAGE,4763,SELECT_NONE_1,False,20000_29999/quest_q25479.html#select_none: 继续听。
26838,src/main/resources/aion/data/static_data/quest_definition/quests/26838.xml,reward,806575,1008,FINISH_DIALOG,CLOSE_DIALOG,0,NULL,False,20000_29999/quest_q26838.html#check_user_item_ok: 结束对话。
28953,src/main/resources/aion/data/static_data/quest_definition/quests/28953.xml,started,804738,1008,FINISH_DIALOG,CLOSE_DIALOG,0,NULL,False,20000_29999/quest_q28953.html#check_user_item_fail: 结束对话。
29000,src/main/resources/aion/data/static_data/quest_definition/quests/29000.xml,started,204097,1008,FINISH_DIALOG,CLOSE_DIALOG,0,NULL,False,20000_29999/quest_q29000.html#check_user_item_fail: 结束对话。
29008,src/main/resources/aion/data/static_data/quest_definition/quests/29008.xml,started,204105,1097,SELECT1_2,SHOW_QUEST_PAGE,1097,SELECT1_2,False,20000_29999/quest_q29008.html#select1_1: 了解阿盖希亚之大剑图案。
29008,src/main/resources/aion/data/static_data/quest_definition/quests/29008.xml,started,204105,1182,SELECT1_3,SHOW_QUEST_PAGE,1182,SELECT1_3,False,20000_29999/quest_q29008.html#select1_1: 了解发光的阿盖希亚之大剑图案。
80357,src/main/resources/aion/data/static_data/quest_definition/quests/80357.xml,started,831816,1008,FINISH_DIALOG,CLOSE_DIALOG,0,NULL,False,80000-84999/quest_q80357.html#select6: 结束对话。
80358,src/main/resources/aion/data/static_data/quest_definition/quests/80358.xml,started,831817,1008,FINISH_DIALOG,CLOSE_DIALOG,0,NULL,False,80000-84999/quest_q80358.html#select6: 结束对话。
