quest_id,source_file,server_source_state,npc_id,trigger_action,actual_path,shown_page,client_visible_action,client_expected,evidence_source,audit_status,fix_status,unresolved_reason
1000,QUEST_Q1000.html,,,,no compiled transition emits this active client page,1003,1008,active client page must be emitted before its buttons can be used,QUEST_Q1000.html#quest_accept_1,UNREACHED,UNRESOLVED,active page is absent from compiled IR responses; no current path identifies its NPC or state
1000,QUEST_Q1000.html,,,,no compiled transition emits this active client page,1004,1008,active client page must be emitted before its buttons can be used,QUEST_Q1000.html#quest_refuse_1,UNREACHED,UNRESOLVED,active page is absent from compiled IR responses; no current path identifies its NPC or state
1000,QUEST_Q1000.html,,,,no compiled transition emits this active client page,1011,1012,active client page must be emitted before its buttons can be used,QUEST_Q1000.html#select1,UNREACHED,UNRESOLVED,active page is absent from compiled IR responses; no current path identifies its NPC or state
1000,QUEST_Q1000.html,,,,no compiled transition emits this active client page,1012,1007,active client page must be emitted before its buttons can be used,QUEST_Q1000.html#select1_1,UNREACHED,UNRESOLVED,active page is absent from compiled IR responses; no current path identifies its NPC or state
1000,QUEST_Q1000.html,,,,no compiled transition emits this active client page,1352,1353,active client page must be emitted before its buttons can be used,QUEST_Q1000.html#select2,UNREACHED,UNRESOLVED,active page is absent from compiled IR responses; no current path identifies its NPC or state
1000,QUEST_Q1000.html,,,,no compiled transition emits this active client page,1353,10000,active client page must be emitted before its buttons can be used,QUEST_Q1000.html#select2_1,UNREACHED,UNRESOLVED,active page is absent from compiled IR responses; no current path identifies its NPC or state
1000,QUEST_Q1000.html,,,,no compiled transition emits this active client page,2375,39,active client page must be emitted before its buttons can be used,QUEST_Q1000.html#select5,UNREACHED,UNRESOLVED,active page is absent from compiled IR responses; no current path identifies its NPC or state
1000,QUEST_Q1000.html,,,,no compiled transition emits this active client page,2716,1008,active client page must be emitted before its buttons can be used,QUEST_Q1000.html#select6,UNREACHED,UNRESOLVED,active page is absent from compiled IR responses; no current path identifies its NPC or state
1000,QUEST_Q1000.html,,,,no compiled transition emits this active client page,4,1002 1003,active client page must be emitted before its buttons can be used,QUEST_Q1000.html#ask_quest_accept,UNREACHED,UNRESOLVED,active page is absent from compiled IR responses; no current path identifies its NPC or state
1001,QUEST_Q1001.html,v0,203071,31,v0 + NPC 203071 + 31 -> v0 + page 1011,1011,1012,v0 + NPC 203071 + 1012 must have a compiled route,QUEST_Q1001.html#select1: 询问任务。,VERIFIED,NOT_NEEDED,
1001,QUEST_Q1001.html,v0,203071,1012,v0 + NPC 203071 + 1012 -> v0 + page 1012,1012,1013,v0 + NPC 203071 + 1013 must have a compiled route,QUEST_Q1001.html#select1_1: 继续听下去。,UNRESOLVED,UNRESOLVED,visible client action has no route; client does not prove its response page or state side effect
1001,QUEST_Q1001.html,,,,no compiled transition emits this active client page,1013,10000,active client page must be emitted before its buttons can be used,QUEST_Q1001.html#select1_1_1,UNREACHED,UNRESOLVED,active page is absent from compiled IR responses; no current path identifies its NPC or state
1001,QUEST_Q1001.html,v6,203071,31,v6 + NPC 203071 + 31 -> v6 + page 1352,1352,1353,v6 + NPC 203071 + 1353 must have a compiled route,QUEST_Q1001.html#select2: 询问新任务。,UNRESOLVED,UNRESOLVED,visible client action has no route; client does not prove its response page or state side effect
1001,QUEST_Q1001.html,,,,no compiled transition emits this active client page,1353,10001,active client page must be emitted before its buttons can be used,QUEST_Q1001.html#select2_1,UNREACHED,UNRESOLVED,active page is absent from compiled IR responses; no current path identifies its NPC or state
1001,QUEST_Q1001.html,v7,203071,31,v7 + NPC 203071 + 31 -> v7 + page 1693,1693,39,v7 + NPC 203071 + 39 must have a compiled route,QUEST_Q1001.html#select3: 递出凯鲁宾的犬牙。,VERIFIED,NOT_NEEDED,
1001,QUEST_Q1001.html,v7,203071,39,v7 + NPC 203071 + 39 -> v7 + page 1694,1694,10002,v7 + NPC 203071 + 10002 must have a compiled route,QUEST_Q1001.html#select3_1: 结束对话。,VERIFIED,NOT_NEEDED,
